Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID,next_state,predicted_time
statechange,User_1,A_Cancelled,Application,ApplState_2080840955,complete,2016-02-29 07:00:48.775000+00:00,Existing loan takeover,New credit,Application_1085880569,13000.0,,,,,,,,,O_Cancelled,2016-02-29 10:52:20.595000+00:00
statechange,User_1,O_Cancelled,Offer,OfferState_1279812041,complete,2016-02-29 07:00:48.807000+00:00,Existing loan takeover,New credit,Application_1085880569,13000.0,,,,,,,,Offer_644568599,O_Cancelled,2016-02-29 10:35:49.277000+00:00
statechange,User_1,O_Cancelled,Offer,OfferState_1604131650,complete,2016-02-29 07:00:48.815000+00:00,Existing loan takeover,New credit,Application_1085880569,13000.0,,,,,,,,Offer_213805292,O_Cancelled,2016-02-29 11:01:23.375000+00:00
Deleted,User_1,W_Call after offers,Workflow,Workitem_1902372728,ate_abort,2016-02-29 07:00:48.826000+00:00,Existing loan takeover,New credit,Application_1085880569,13000.0,,,,,,,,,O_Cancelled,2016-02-29 11:36:28.106000+00:00
Created,User_1,A_Create Application,Application,Application_1266995739,complete,2016-01-01 13:22:19.758000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,A_Submitted,2016-01-01 13:22:19.878000+00:00
statechange,User_1,A_Submitted,Application,ApplState_1503316651,complete,2016-01-01 13:22:19.796000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,A_Concept,2016-01-01 14:03:48.996000+00:00
Created,User_1,W_Handle leads,Workflow,Workitem_124706175,schedule,2016-01-01 13:22:19.977000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,W_Complete application,2016-01-01 20:38:47.277000+00:00
Deleted,User_1,W_Handle leads,Workflow,Workitem_476094580,withdraw,2016-01-01 13:23:29.483000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,A_Accepted,2016-01-01 14:50:29.733000+00:00
Created,User_1,W_Complete application,Workflow,Workitem_1061838630,schedule,2016-01-01 13:23:29.499000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Create Offer,2016-01-01 13:31:53.729000+00:00
statechange,User_1,A_Concept,Application,ApplState_287418819,complete,2016-01-01 13:23:29.511000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Created,2016-01-01 13:28:22.081000+00:00
Obtained,User_19,W_Complete application,Workflow,Workitem_404415314,start,2016-01-02 11:46:28.903000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Sent (mail and online),2016-01-02 16:30:26.873000+00:00
Released,User_19,W_Complete application,Workflow,Workitem_1478699293,suspend,2016-01-02 11:46:43.959000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,A_Complete,2016-01-04 07:40:07.089000+00:00
Obtained,User_19,W_Complete application,Workflow,Workitem_338776129,resume,2016-01-02 13:28:22.185000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Create Offer,2016-01-03 19:07:21.925000+00:00
Released,User_19,W_Complete application,Workflow,Workitem_1727159815,suspend,2016-01-02 13:28:52.418000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Created,2016-01-02 23:12:59.068000+00:00
Obtained,User_3,W_Complete application,Workflow,Workitem_877544776,resume,2016-01-02 13:29:33.936000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Sent (mail and online),2016-01-03 06:30:49.816000+00:00
Released,User_3,W_Complete application,Workflow,Workitem_1892437802,suspend,2016-01-02 13:29:43.478000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,A_Validating,2016-01-03 06:10:16.998000+00:00
Obtained,User_38,W_Complete application,Workflow,Workitem_2109557562,resume,2016-01-02 13:30:27.664000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-02 21:27:25.894000+00:00
Released,User_38,W_Complete application,Workflow,Workitem_404068833,suspend,2016-01-02 13:31:56.075000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-02 21:39:27.205000+00:00
statechange,User_3,A_Accepted,Application,ApplState_784589932,complete,2016-01-02 13:35:32.248000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,A_Validating,2016-01-02 22:43:22.108000+00:00
Created,User_3,O_Create Offer,Offer,Offer_467024374,complete,2016-01-02 13:38:19.507000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,0.0,40.0,False,195.73,True,0.0,7000.0,,A_Validating,2016-01-02 20:03:30.327000+00:00
statechange,User_3,O_Created,Offer,OfferState_320497291,complete,2016-01-02 13:38:20.745000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,Offer_467024374,O_Cancelled,2016-01-02 21:08:18.665000+00:00
statechange,User_3,O_Sent (mail and online),Offer,OfferState_1832385008,complete,2016-01-02 13:38:31.338000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,Offer_467024374,O_Cancelled,2016-01-02 20:13:36.968000+00:00
Deleted,User_3,W_Complete application,Workflow,Workitem_1536031316,ate_abort,2016-01-02 13:38:31.354000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-02 20:11:51.374000+00:00
Created,User_3,W_Call after offers,Workflow,Workitem_1524128442,schedule,2016-01-02 13:38:31.363000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,A_Validating,2016-01-02 19:06:33.363000+00:00
Obtained,User_3,W_Call after offers,Workflow,Workitem_1308329251,start,2016-01-02 13:38:31.366000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-02 18:21:02.126000+00:00
statechange,User_3,A_Complete,Application,ApplState_561170698,complete,2016-01-02 13:38:31.368000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-02 18:51:32.328000+00:00
Released,User_3,W_Call after offers,Workflow,Workitem_1953060635,suspend,2016-01-02 13:39:23.150000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-02 19:15:08.780000+00:00
Obtained,User_11,W_Call after offers,Workflow,Workitem_1413082759,resume,2016-01-06 09:55:20.786000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-06 13:46:52.606000+00:00
Released,User_11,W_Call after offers,Workflow,Workitem_2034960095,suspend,2016-01-06 09:55:43.055000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-06 13:30:43.525000+00:00
Deleted,User_113,W_Call after offers,Workflow,Workitem_345306208,ate_abort,2016-01-08 09:21:19.928000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-08 13:21:54.488000+00:00
Created,User_113,W_Validate application,Workflow,Workitem_231976832,schedule,2016-01-08 09:21:19.934000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-08 13:56:59.214000+00:00
Obtained,User_113,W_Validate application,Workflow,Workitem_958106959,start,2016-01-08 09:21:19.936000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Create Offer,2016-01-08 12:52:48.496000+00:00
statechange,User_113,A_Validating,Application,ApplState_541351824,complete,2016-01-08 09:21:20.819000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Created,2016-01-08 13:40:09.839000+00:00
statechange,User_113,O_Returned,Offer,OfferState_569646273,complete,2016-01-08 09:21:27.927000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,Offer_467024374,O_Sent (online only),2016-01-08 13:23:21.677000+00:00
Released,User_113,W_Validate application,Workflow,Workitem_1087828166,suspend,2016-01-08 09:22:57.420000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Returned,2016-01-08 11:10:11.620000+00:00
Deleted,User_100,W_Validate application,Workflow,Workitem_329615836,ate_abort,2016-01-08 12:46:40.538000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,A_Validating,2016-01-08 15:29:25.508000+00:00
Created,User_100,W_Call incomplete files,Workflow,Workitem_1641702264,schedule,2016-01-08 12:46:40.545000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Accepted,2016-01-08 14:43:33.105000+00:00
Obtained,User_100,W_Call incomplete files,Workflow,Workitem_50051323,start,2016-01-08 12:46:40.548000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,A_Pending,2016-01-08 15:09:31.648000+00:00
statechange,User_100,A_Incomplete,Application,ApplState_1874120270,complete,2016-01-08 12:46:40.555000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-08 15:20:36.285000+00:00
Released,User_100,W_Call incomplete files,Workflow,Workitem_645168427,suspend,2016-01-08 12:48:19.828000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-08 19:24:06.648000+00:00
Obtained,User_28,W_Call incomplete files,Workflow,Workitem_1373962540,resume,2016-01-08 15:33:24.157000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-08 17:52:03.747000+00:00
Released,User_28,W_Call incomplete files,Workflow,Workitem_1800730852,suspend,2016-01-08 15:34:44.044000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-08 15:47:10.344000+00:00
Obtained,User_28,W_Call incomplete files,Workflow,Workitem_114311244,resume,2016-01-08 15:42:59.035000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-08 18:03:45.415000+00:00
Released,User_28,W_Call incomplete files,Workflow,Workitem_108864270,suspend,2016-01-08 15:43:10.589000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-08 23:50:38.009000+00:00
Obtained,User_27,W_Call incomplete files,Workflow,Workitem_1297075986,resume,2016-01-09 10:18:35.784000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-09 16:06:39.724000+00:00
Released,User_27,W_Call incomplete files,Workflow,Workitem_1896088229,suspend,2016-01-09 10:19:37.612000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-09 10:43:08.162000+00:00
Obtained,User_27,W_Call incomplete files,Workflow,Workitem_893197023,resume,2016-01-09 10:21:00.627000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-09 11:08:09.517000+00:00
Released,User_27,W_Call incomplete files,Workflow,Workitem_1242743034,suspend,2016-01-09 10:21:10.299000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-09 12:03:41.079000+00:00
Obtained,User_27,W_Call incomplete files,Workflow,Workitem_889008067,resume,2016-01-09 11:35:32.890000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-09 13:41:56.420000+00:00
Released,User_27,W_Call incomplete files,Workflow,Workitem_235883841,suspend,2016-01-09 11:43:42.783000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-09 11:47:23.793000+00:00
Obtained,User_27,W_Call incomplete files,Workflow,Workitem_540169250,resume,2016-01-09 11:53:54.578000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-09 13:32:51.628000+00:00
Released,User_27,W_Call incomplete files,Workflow,Workitem_1403710868,suspend,2016-01-09 11:54:41.912000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-09 11:54:41.922000+00:00
statechange,User_27,A_Cancelled,Application,ApplState_1779667275,complete,2016-01-09 15:48:53.141000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-09 15:48:53.161000+00:00
statechange,User_27,O_Cancelled,Offer,OfferState_1624044404,complete,2016-01-09 15:48:53.168000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,Offer_467024374,O_Cancelled,2016-01-09 15:48:53.178000+00:00
Deleted,User_27,W_Call incomplete files,Workflow,Workitem_1878063428,ate_abort,2016-01-09 15:48:53.179000+00:00,Existing loan takeover,New credit,Application_1266995739,7000.0,,,,,,,,,O_Cancelled,2016-01-09 15:48:53.189000+00:00
Created,User_1,A_Create Application,Application,Application_1878239836,complete,2016-01-01 13:35:26.422000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,A_Submitted,2016-01-01 13:35:26.542000+00:00
statechange,User_1,A_Submitted,Application,ApplState_649299817,complete,2016-01-01 13:35:26.463000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,A_Concept,2016-01-01 14:16:55.663000+00:00
Created,User_1,W_Handle leads,Workflow,Workitem_1693495632,schedule,2016-01-01 13:35:26.664000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,W_Complete application,2016-01-01 20:51:53.964000+00:00
Deleted,User_1,W_Handle leads,Workflow,Workitem_1080257214,withdraw,2016-01-01 13:36:30.982000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,A_Accepted,2016-01-01 15:03:31.232000+00:00
Created,User_1,W_Complete application,Workflow,Workitem_1531288681,schedule,2016-01-01 13:36:30.993000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Create Offer,2016-01-01 13:44:55.223000+00:00
statechange,User_1,A_Concept,Application,ApplState_70781426,complete,2016-01-01 13:36:31.003000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Created,2016-01-01 13:41:23.573000+00:00
Obtained,User_38,W_Complete application,Workflow,Workitem_590189592,start,2016-01-02 13:32:03.433000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Sent (mail and online),2016-01-02 18:16:01.403000+00:00
Released,User_38,W_Complete application,Workflow,Workitem_1728936136,suspend,2016-01-02 13:37:53.499000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,A_Complete,2016-01-04 09:31:16.629000+00:00
Obtained,User_3,W_Complete application,Workflow,Workitem_1285266773,resume,2016-01-02 13:50:50.143000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Create Offer,2016-01-03 19:29:49.883000+00:00
statechange,User_3,A_Accepted,Application,ApplState_1724218207,complete,2016-01-02 13:59:27.406000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Created,2016-01-02 23:43:34.056000+00:00
Created,User_3,O_Create Offer,Offer,Offer_117620760,complete,2016-01-02 13:59:59.998000+00:00,Home improvement,New credit,Application_1878239836,15000.0,328.0,84.0,True,211.9,True,0.0,15000.0,,O_Sent (mail and online),2016-01-03 07:01:15.878000+00:00
statechange,User_3,O_Created,Offer,OfferState_1078624957,complete,2016-01-02 14:00:01.362000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,Offer_117620760,A_Validating,2016-01-03 06:40:34.882000+00:00
statechange,User_3,O_Sent (mail and online),Offer,OfferState_1280164227,complete,2016-01-02 14:00:19.890000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,Offer_117620760,O_Cancelled,2016-01-02 21:57:18.120000+00:00
Deleted,User_3,W_Complete application,Workflow,Workitem_211351604,complete,2016-01-02 14:00:19.915000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Cancelled,2016-01-02 22:07:51.045000+00:00
Created,User_3,W_Call after offers,Workflow,Workitem_585076049,schedule,2016-01-02 14:00:20+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,A_Validating,2016-01-02 23:08:09.860000+00:00
Obtained,User_3,W_Call after offers,Workflow,Workitem_1094488878,start,2016-01-02 14:00:20.005000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,A_Validating,2016-01-02 20:25:30.825000+00:00
statechange,User_3,A_Complete,Application,ApplState_1631192678,complete,2016-01-02 14:00:20.011000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Cancelled,2016-01-02 21:30:17.931000+00:00
Released,User_3,W_Call after offers,Workflow,Workitem_879835269,suspend,2016-01-02 14:01:29.241000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Cancelled,2016-01-02 20:36:34.871000+00:00
Obtained,User_11,W_Call after offers,Workflow,Workitem_961076210,resume,2016-01-06 09:55:46.892000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Cancelled,2016-01-06 16:29:06.912000+00:00
Released,User_11,W_Call after offers,Workflow,Workitem_1390834318,suspend,2016-01-06 09:56:10.962000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,A_Validating,2016-01-06 15:24:12.962000+00:00
Deleted,User_113,W_Call after offers,Workflow,Workitem_562363773,ate_abort,2016-01-08 10:08:49.249000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Cancelled,2016-01-08 14:51:20.009000+00:00
Created,User_113,W_Validate application,Workflow,Workitem_1510449988,schedule,2016-01-08 10:08:49.258000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Cancelled,2016-01-08 15:21:50.218000+00:00
Obtained,User_113,W_Validate application,Workflow,Workitem_1853647796,start,2016-01-08 10:08:49.262000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Cancelled,2016-01-08 15:44:34.892000+00:00
statechange,User_113,A_Validating,Application,ApplState_1638726748,complete,2016-01-08 10:08:50.154000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Cancelled,2016-01-08 14:00:21.974000+00:00
statechange,User_113,O_Returned,Offer,OfferState_789899351,complete,2016-01-08 10:09:09.540000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,Offer_117620760,O_Cancelled,2016-01-08 13:44:10.010000+00:00
Released,User_113,W_Validate application,Workflow,Workitem_501075662,suspend,2016-01-08 10:13:19.695000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Cancelled,2016-01-08 14:13:54.255000+00:00
Obtained,User_95,W_Validate application,Workflow,Workitem_1134324139,resume,2016-01-11 07:48:56.099000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Cancelled,2016-01-11 12:24:35.379000+00:00
Released,User_95,W_Validate application,Workflow,Workitem_377929238,suspend,2016-01-11 07:48:59.897000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Create Offer,2016-01-11 11:20:28.457000+00:00
Obtained,User_99,W_Validate application,Workflow,Workitem_1661856972,resume,2016-01-11 09:22:20.633000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Created,2016-01-11 13:41:09.653000+00:00
statechange,User_99,A_Denied,Application,ApplState_427425012,complete,2016-01-11 09:30:52.964000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,O_Sent (online only),2016-01-11 13:32:46.714000+00:00
statechange,User_99,O_Refused,Offer,OfferState_722957562,complete,2016-01-11 09:30:52.996000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,Offer_117620760,O_Returned,2016-01-11 11:18:07.196000+00:00
Deleted,User_99,W_Validate application,Workflow,Workitem_681085295,complete,2016-01-11 09:30:53.009000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,A_Validating,2016-01-11 12:13:37.979000+00:00
Created,User_1,A_Create Application,Application,Application_619403287,complete,2016-01-01 14:13:16.064000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,A_Submitted,2016-01-01 14:13:16.184000+00:00
statechange,User_1,A_Submitted,Application,ApplState_1207742536,complete,2016-01-01 14:13:16.117000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,A_Concept,2016-01-01 14:54:45.317000+00:00
Created,User_1,W_Handle leads,Workflow,Workitem_2007616906,schedule,2016-01-01 14:13:16.371000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,W_Complete application,2016-01-01 21:29:43.671000+00:00
Deleted,User_1,W_Handle leads,Workflow,Workitem_993441789,withdraw,2016-01-01 14:14:33.830000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,A_Accepted,2016-01-01 15:41:34.080000+00:00
Created,User_1,W_Complete application,Workflow,Workitem_1343236029,schedule,2016-01-01 14:14:33.847000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Create Offer,2016-01-01 14:22:58.077000+00:00
statechange,User_1,A_Concept,Application,ApplState_1877855588,complete,2016-01-01 14:14:33.857000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Created,2016-01-01 14:19:26.427000+00:00
Obtained,User_19,W_Complete application,Workflow,Workitem_488414588,start,2016-01-02 14:26:27.976000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Sent (mail and online),2016-01-02 19:10:25.946000+00:00
statechange,User_19,A_Accepted,Application,ApplState_361506504,complete,2016-01-02 14:32:24.768000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,A_Complete,2016-01-04 10:25:47.898000+00:00
Created,User_19,O_Create Offer,Offer,Offer_1534843733,complete,2016-01-02 14:41:07.809000+00:00,Car,New credit,Application_619403287,15000.0,14007.0,60.0,True,282.96,True,799.0,15000.0,,O_Create Offer,2016-01-03 20:20:07.549000+00:00
statechange,User_19,O_Created,Offer,OfferState_747412500,complete,2016-01-02 14:41:09.180000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,Offer_1534843733,O_Created,2016-01-03 00:25:15.830000+00:00
statechange,User_19,O_Sent (mail and online),Offer,OfferState_31930877,complete,2016-01-02 14:44:54.594000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,Offer_1534843733,O_Sent (mail and online),2016-01-03 07:46:10.474000+00:00
Deleted,User_19,W_Complete application,Workflow,Workitem_1701842789,complete,2016-01-02 14:44:54.610000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,A_Validating,2016-01-03 07:25:28.130000+00:00
Created,User_19,W_Call after offers,Workflow,Workitem_196754340,schedule,2016-01-02 14:44:54.618000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Cancelled,2016-01-02 22:41:52.848000+00:00
Obtained,User_19,W_Call after offers,Workflow,Workitem_119324096,start,2016-01-02 14:44:54.621000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Cancelled,2016-01-02 22:52:25.751000+00:00
statechange,User_19,A_Complete,Application,ApplState_755873942,complete,2016-01-02 14:44:54.624000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,A_Validating,2016-01-02 23:52:44.484000+00:00
Released,User_19,W_Call after offers,Workflow,Workitem_1385138417,suspend,2016-01-02 14:44:58.577000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,A_Validating,2016-01-02 21:10:09.397000+00:00
Obtained,User_11,W_Call after offers,Workflow,Workitem_64098220,resume,2016-01-06 10:28:44.510000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Cancelled,2016-01-06 17:58:42.430000+00:00
Released,User_11,W_Call after offers,Workflow,Workitem_661149629,suspend,2016-01-06 10:29:47.822000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Cancelled,2016-01-06 17:04:53.452000+00:00
Deleted,User_118,W_Call after offers,Workflow,Workitem_2061284412,ate_abort,2016-01-11 10:05:54.815000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Cancelled,2016-01-11 16:39:14.835000+00:00
Created,User_118,W_Validate application,Workflow,Workitem_910627847,schedule,2016-01-11 10:05:54.825000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,A_Validating,2016-01-11 15:33:56.825000+00:00
Obtained,User_118,W_Validate application,Workflow,Workitem_1471047465,start,2016-01-11 10:05:54.830000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Cancelled,2016-01-11 14:48:25.590000+00:00
statechange,User_118,A_Validating,Application,ApplState_1311675852,complete,2016-01-11 10:05:55.740000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Cancelled,2016-01-11 15:18:56.700000+00:00
statechange,User_118,O_Returned,Offer,OfferState_1434902311,complete,2016-01-11 10:07:25.792000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,Offer_1534843733,O_Cancelled,2016-01-11 15:43:11.422000+00:00
Released,User_118,W_Validate application,Workflow,Workitem_606437131,suspend,2016-01-11 10:10:19.085000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Cancelled,2016-01-11 14:01:50.905000+00:00
Deleted,User_100,W_Validate application,Workflow,Workitem_1266775712,ate_abort,2016-01-12 10:00:09.600000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Cancelled,2016-01-12 13:35:10.070000+00:00
Created,User_100,W_Call incomplete files,Workflow,Workitem_1854260630,schedule,2016-01-12 10:00:09.611000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Cancelled,2016-01-12 14:00:44.171000+00:00
Obtained,User_100,W_Call incomplete files,Workflow,Workitem_1150791916,start,2016-01-12 10:00:09.613000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Cancelled,2016-01-12 14:35:48.893000+00:00
statechange,User_100,A_Incomplete,Application,ApplState_650228270,complete,2016-01-12 10:00:09.615000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Create Offer,2016-01-12 13:31:38.175000+00:00
Released,User_100,W_Call incomplete files,Workflow,Workitem_779938345,suspend,2016-01-12 10:03:06.607000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Created,2016-01-12 14:21:55.627000+00:00
Obtained,User_2,W_Call incomplete files,Workflow,Workitem_338045338,resume,2016-01-12 11:11:26.296000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Sent (online only),2016-01-12 15:13:20.046000+00:00
Released,User_2,W_Call incomplete files,Workflow,Workitem_1739134044,suspend,2016-01-12 11:15:16.909000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Returned,2016-01-12 13:02:31.109000+00:00
statechange,User_119,O_Accepted,Offer,OfferState_1955110075,complete,2016-01-22 08:03:30.895000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,Offer_1534843733,A_Validating,2016-01-22 10:46:15.865000+00:00
statechange,User_119,A_Pending,Application,ApplState_1373444220,complete,2016-01-22 08:03:30.899000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,O_Accepted,2016-01-22 10:00:23.459000+00:00
Deleted,User_119,W_Call incomplete files,Workflow,Workitem_1083083060,ate_abort,2016-01-22 08:03:30.902000+00:00,Car,New credit,Application_619403287,15000.0,,,,,,,,,A_Pending,2016-01-22 10:26:22.002000+00:00
Created,User_1,A_Create Application,Application,Application_1710223761,complete,2016-01-01 14:23:21.334000+00:00,Car,New credit,Application_1710223761,11000.0,,,,,,,,,A_Submitted,2016-01-01 14:23:21.454000+00:00
